UI,Name,Count,DateRange,PriorYearCount,PriorYearDateRange
D000072078,Positron Emission Tomography Computed Tomography,2781,2025/01/01-2025/12/31,2788,2024/01/01-2024/12/31
D000072079,Patched Receptors,73,2025/01/01-2025/12/31,79,2024/01/01-2024/12/31
D000072080,Anesthesiologists,198,2025/01/01-2025/12/31,309,2024/01/01-2024/12/31
D000072081,Patched-1 Receptor,32,2025/01/01-2025/12/31,31,2024/01/01-2024/12/31
D000072082,Patched-2 Receptor,2,2025/01/01-2025/12/31,3,2024/01/01-2024/12/31
D000072085,Dermatologists,101,2025/01/01-2025/12/31,193,2024/01/01-2024/12/31
D000072086,Smoothened Receptor,52,2025/01/01-2025/12/31,51,2024/01/01-2024/12/31
D000072087,Occupational Therapists,150,2025/01/01-2025/12/31,169,2024/01/01-2024/12/31
D000072096,Cardiologists,108,2025/01/01-2025/12/31,131,2024/01/01-2024/12/31
D000072097,Endocrinologists,46,2025/01/01-2025/12/31,39,2024/01/01-2024/12/31
D000072098,Single Photon Emission Computed Tomography Computed Tomography,270,2025/01/01-2025/12/31,259,2024/01/01-2024/12/31
D000072099,Serrate-Jagged Proteins,71,2025/01/01-2025/12/31,77,2024/01/01-2024/12/31
D000072100,Jagged-1 Protein,66,2025/01/01-2025/12/31,70,2024/01/01-2024/12/31
D000072101,Jagged-2 Protein,8,2025/01/01-2025/12/31,10,2024/01/01-2024/12/31
D000072102,Gastroenterologists,77,2025/01/01-2025/12/31,89,2024/01/01-2024/12/31
D000072103,Oncologists,223,2025/01/01-2025/12/31,217,2024/01/01-2024/12/31
D000072104,Nephrologists,67,2025/01/01-2025/12/31,82,2024/01/01-2024/12/31
D000072105,Superoxide Dismutase-1,241,2025/01/01-2025/12/31,270,2024/01/01-2024/12/31
D000072106,Pulmonologists,25,2025/01/01-2025/12/31,34,2024/01/01-2024/12/31
D000072117,Counselors,106,2025/01/01-2025/12/31,128,2024/01/01-2024/12/31
D000072137,Vaping,760,2025/01/01-2025/12/31,773,2024/01/01-2024/12/31
D000072138,Mosquito Vectors,1324,2025/01/01-2025/12/31,1214,2024/01/01-2024/12/31
D000072139,Giant Viruses,34,2025/01/01-2025/12/31,29,2024/01/01-2024/12/31
D000072140,Rheumatologists,69,2025/01/01-2025/12/31,89,2024/01/01-2024/12/31
D000072141,Neurologists,171,2025/01/01-2025/12/31,158,2024/01/01-2024/12/31
D000072142,Pathologists,162,2025/01/01-2025/12/31,267,2024/01/01-2024/12/31
D000072143,Pediatricians,190,2025/01/01-2025/12/31,266,2024/01/01-2024/12/31
D000072156,Neonatologists,23,2025/01/01-2025/12/31,29,2024/01/01-2024/12/31
D000072157,Physiatrists,12,2025/01/01-2025/12/31,11,2024/01/01-2024/12/31
